ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9780312119324,Where Do You Stop?,Eric Kraft,1995,Macmillan,Fiction,"""Where do you stop?"" is the question posed by Miss Rheingold, the intoxicating new teacher of Peter Leroy's junior high school class. That question forms the basis of a science paper that Peter spends thirty years trying to complete-along the way exploring quantum physics, entropy, epistemology, principles of uncertainty and discontinuity, and a range of Life's Big Questions. Deceptively simple and warmly engaging, Eric Kraft's novel is an ingenious portrait of a small American town in the 1950s, when the atom seemed to hold the key to the mystery of creation, as well as the power to utterly destroy it.",190,en,,
9780451176752,No Way Home,Andrew Coburn,1993,Signet Book,Fiction,"New York Times bestselling author Coburn (Goldilocks) returns with what Newsweek calls ""one of the best suspense novels"" of the summer. This tense tale of deadly rage and jagged justice in a small Massachusetts town introduces Coburn's new protagonist, police chief James Morgan.",360,en,,
9780802711694,Your Child's First School,Diana Townsend-Butterworth,1992,Walker & Company,Education,"Gives parents the facts necessary to make sound choices about their children's education, discussing options in education, what to look for in a school, what questions to ask, and finding a perfect match between child and school",271,en,,
9788483100356,Yo no tengo la culpa de haber nacido tan sexy,Eduardo Mendicutti,1997,TusQuets,Fiction,"La desternillante aventura de una mujer muy especial en su camino hacia la santidad, o su perdición. Rebecca de Windsor, una hermosísima mujer dedicada al espectáculo, descubre un día ante el espejo que el tiempo empieza a hacer mella en su cuerpo. Ella, que siempre ha sabido imponerse al destino y siempre ha querido (y logrado) ser la primera en todo, no puede permitirse el lujo de no encontrar la vía más digna hacia una madurez superior, y decide emprender el camino de la santidad, elevarse por encima de los demás mortales y alcanzar las cimas sólo holladas por los místicos. Todo ello entraría en la más absoluta normalidad, si no fuera porque Rebecca de Windsor fue durante treinta y siete años de su vida Jesús López Soler y porque nadie, ni siquiera ella, escapa a las muchas trampas de la memoria.",292,es,,
9780749931889,Mother Love,Martine Oborne,2000,Piatkus Books,Parenting,"High flyer Louise Atlas has a demanding city career and an equally demanding family. Disaster strikes when, in the middle of a crucial deal, her sister dumps her baby daughter on her to go and find herself, and her perfect nanny quits. But she can handle four small children - can't she?",394,en,,
9780312265793,The Dutch,Les Roberts,2001,Macmillan,Fiction,"Milan Jacovich, Cleveland's most popular private investigator, specializes in industrial security, but when another type of case comes up that is too good to resist he will agree to work on it. That is exactly what happens when Professor Carnine walks into his office in this 12th addition to the series. Milan recognizes Dr. Carnine's name, but can't remember from where until Dr. Carnine explains. His daughter's body was found under a local bridge. The police agreed that 30-year-old Ellen Carnine committed suicide, or in street parlance ""did the dutch."" However, Dr. Carnine cannot accept that answer and wants Milan to find out what could have driven his daughter, somewhat of a recluse, to take her own life? He is filled with guilt that maybe there was something about his daughter he should have known, that maybe there was a way he could have helped her. Reluctantly, Milan agrees to take the case knowing that the outcome will not be happy for anyone. Milan finds that Ellen spent most of her time on the computer either working or on the Internet and that she was appreciated by her bosses, a pair of young Cleveland entrepreneurs who made movies. But interviews with her few friends lead him to see her as an independent person who got satisfaction from her work and had accepted the fact that she was seriously overweight and physically unattractive. Digging further, Milan comes upon upsetting small clues that shout ""murder"" to him, and suspicions about what her employers were actually up to grow. His investigation begins to take a different, and eventually dangerous, direction until he uncovers the horrific truth behind Ellen's death.",312,en,,
9781889195162,Most Art Sucks,Tom Patchett,1998,,Art,"Dubbed ""the National Enquirer of the Art World"" by the New York Post, Coagula Art Journal stands alone among art publications in its iconoclastic, irreverent commentary on the New York and Los Angeles art scenes. This compendium of the ""best of"" Coagula presents exposés, gossip, and insider dirt about the art-world elite; articulate essays about contemporary artists ranging from Bob Flanagan and Lari Pittman to Gilbert & George and Carolee Schneeman; insightful interviews with influential art-world players, including the Museum of Modern Art's Robert Storr, Newsweek's Peter Plagens, and Beat Generation legend George Herms; and its trademark satire of art-world pretensions with the energy and style of underground zines and the investigative style of tabloid journalism.",212,en,,
9780760730300,Cat Abroad,Peter Gethers,2001,,Cat owners,"The Cat Who Went to Paris: Two pet owners tell of their talented animals in relaxed, entertaining ways. Gethers's style is extremely light and at times funny as he tells how Norton taught him to like cats, how easily this feline made friends with airline crews, explored Parisian rooftops, and stood vigil at the death of his owner's father. Blind actor-musician Tom Sullivan relates, through White, how he had to let Dinah train him as she was so much more capable than his previous guide dog. -- A Cat Abroad: He's back as a celebrity now--Norton the adorable Scottish fold cat whose adventures were chronicled by Gethers in The Cat Who Went to Paris (LJ 9/1/91). Norton the star now dines on Pounce pizza prepared by superstar chef Wolfgang Puck, stays in a famous New Orleans hotel that has a no-pets policy, tours the United States on the TV talk-show circuit, and receives fan mail and photos from humans as well as cats. Most of this book describes Norton and Peter's year in Provence, where Norton's days in a beautiful 300-year-old country home are filled with naps in the garden, exploring the neighborhood, and more napping in the lap of his human.",472,en,,
9780671469450,Woman's Day Book of Baking,,1983,,,,263,en,,
9781860645884,"Mary, Queen of Scots",Jenny Wormald,2001,Tauris Parke Paperbacks,Biography & Autobiography,"Mary, Queen of Scots, was one of history's most romantically tragic figures. Her endless plotting eventually led her to flee from Scotland and be imprisoned by her equally ambitious cousin and fellow queen--Elizabeth of England--who later ordered Mary to be beheaded in 1587. This book looks at her tragedy. of photos.",216,en,,
9780140097436,"Yo, Poe",Frank Gannon,1988,,Wit and humor,,14,en,,
9780440177043,Season of Passion,Danielle Steel,1979,Dell,Fiction,"Kate is only eighteen when she meets Tom Harper, one of America's biggest pro-football stars. They share an idyllic and glamorous first love. But the bullet that suddenly ends Tom's career also ends their life together. A failed suicide attempt will leave him mentally and physically disabled forever. Kate will be left alone, heartbroken, and pregnant with their son. Soon she will have another chance at love, but it will mean learning to let go of the past and learning to trust again.",436,en,5,1
9780966645910,Will Work for Peace,Brett Axel,2000,,Political poetry,,240,en,,
9781569471470,Much Younger Man,Dianne Highbridge,2003,,Middle-aged women,"In Australia, a schoolteacher falls in love with a youth, 20 years her junior. The heroine is Aly, 36, a divorced woman, while he is Tom, 16. He is the son of her best friend. When the community discovers their affair it turns against her.",0,en,,
9783442724055,Das Krallenäffchen,Sigrid Nunez,2001,,,,157,de,,
9780671451523,Animals at the Zoo,Kenneth Lilly,1982,Atheneum,Zoo animals,"Illustrates and names zoo animals including lion and cub, panda and baby panda, chimpanzee and baby chimpanzee, giraffe and calf, hippopotamus and calf.",10,en,,
9780393025224,Archimedes' Revenge,Paul Hoffman,1988,W. W. Norton,Mathematics.,"Essays discuss number theory, cryptography, topology, chess playing, computers, algorithms, parallel processing, and political representation",285,en,,
9783411092819,In den Nestern der Insekten,,1998,,German language,"Einführung in die Welt der staatenbildenden Insekten: mit Hilfe einer Taschenlampe können Ameisen, Bienen und Termitenvölker in ihren Nestern bestaunt werden.",36,de,,
9780380709151,Henry and the Clubhouse,Beverly Cleary,1990,HarperCollins,Juvenile Fiction,"For Henry Huggins and his friends Robert and Murph, a clubhouse is a place where they can do as they please, without being bothered by girls. The sign that says No Girls Allowed -- This Means You especially means Ramona Quimby. Lately Ramona has been following Henry on his newspaper route, embarrassing him in front of Henry's customers. The day Ramona follows Henry to the clubhouse, she wants to teach him girls aren't so bad, but she almost puts an end to his newspaper career forever.",0,en,,
9780670710942,Through a Brief Darkness,Richard Peck,1973,Viking Children's Books,Juvenile Fiction,"Unaware that her father is involved with organized crime, Karen is kidnapped by his rivals.",152,en,3,1
